tweet_id,favorites,retweets,date_time
746369468511756288,6008,1578,2016-06-24 15:48:42+00:00
746131877086527488,6687,2111,2016-06-24 00:04:36+00:00
746056683365994496,3469,786,2016-06-23 19:05:49+00:00
745789745784041472,3897,1026,2016-06-23 01:25:06+00:00
745712589599014916,6795,2243,2016-06-22 20:18:30+00:00
745433870967832576,6861,2461,2016-06-22 01:50:58+00:00
745422732645535745,8317,2339,2016-06-22 01:06:43+00:00
745314880350101504,6941,2653,2016-06-21 17:58:09+00:00
745074613265149952,7607,3362,2016-06-21 02:03:25+00:00
745057283344719872,7033,2167,2016-06-21 00:54:33+00:00
744995568523612160,2877,593,2016-06-20 20:49:19+00:00
744971049620602880,7640,2596,2016-06-20 19:11:53+00:00
744709971296780288,5441,1507,2016-06-20 01:54:27+00:00
744334592493166593,6572,2026,2016-06-19 01:02:50+00:00
744234799360020481,151307,74943,2016-06-18 18:26:18+00:00
744223424764059648,1608,347,2016-06-18 17:41:06+00:00
743980027717509120,4050,1055,2016-06-18 01:33:55+00:00
743895849529389061,3547,933,2016-06-17 19:59:26+00:00
743835915802583040,0,1995,2016-06-17 16:01:16+00:00
743609206067040256,4337,1338,2016-06-17 01:00:24+00:00
743595368194129920,17763,6295,2016-06-17 00:05:25+00:00
743545585370791937,3429,909,2016-06-16 20:47:36+00:00
743510151680958465,7685,3597,2016-06-16 18:26:48+00:00
743253157753532416,4109,1178,2016-06-16 01:25:36+00:00
743222593470234624,6008,1843,2016-06-15 23:24:09+00:00
743210557239623680,3721,1313,2016-06-15 22:36:19+00:00
742534281772302336,6849,3440,2016-06-14 01:49:03+00:00
742528092657332225,4280,1888,2016-06-14 01:24:27+00:00
742465774154047488,7029,3771,2016-06-13 21:16:49+00:00
742423170473463808,9501,3601,2016-06-13 18:27:32+00:00
742385895052087300,6590,1890,2016-06-13 15:59:24+00:00
742161199639494656,4177,1317,2016-06-13 01:06:33+00:00
742150209887731712,4950,1490,2016-06-13 00:22:53+00:00
741793263812808706,4409,1451,2016-06-12 00:44:30+00:00
741743634094141440,7920,2642,2016-06-11 21:27:17+00:00
741438259667034112,3576,787,2016-06-11 01:13:51+00:00
741303864243200000,8503,3087,2016-06-10 16:19:48+00:00
